DataID,â¡çHã@î‘,â¡çHì˙äJén,â¡çHì˙èIóπ,åüç∏ã@î‘,åüç∏ì˙,åüç∏êî,OKêî,ëSí∑NG,ì‡åaNG,äOåaNG,ÇÀÇ∂NG,ëºNG,äOäœNG,îıçl
2601-0001,750,2025/12/25,2025/12/25,1,2026/01/06,639,624,0,0,0,0,0,15,
2601-0002,756,2025/12/25,2025/12/25,1,2026/01/06,626,615,0,0,0,1,0,10,
2601-0003,757,2025/12/25,2025/12/25,1,2026/01/06,662,648,1,0,0,0,0,13,
2601-0004,750,2025/12/26,2025/12/26,1,2026/01/08,617,612,0,0,0,0,0,5,
2601-0005,756,2025/12/26,2025/12/26,1,2026/01/08,645,641,0,0,0,0,0,4,
2601-0006,757,2026/01/07,2026/01/07,1,2026/01/09,577,564,0,2,5,0,0,6,
2601-0007,756,2026/01/07,2026/01/07,1,2026/01/09,604,595,0,4,0,0,0,5,
2601-0008,750,2026/01/07,2026/01/07,1,2026/01/09,520,510,0,4,0,0,0,6,
2601-0009,750,2026/01/08,2026/01/08,1,2026/01/12,648,638,0,0,0,0,0,10,
2601-0010,756,2026/01/08,2026/01/08,1,2026/01/12,636,632,0,0,0,0,0,4,
2601-0011,757,2026/01/08,2026/01/08,1,2026/01/12,596,591,0,0,0,0,0,5,
2601-0012,757,2026/01/09,2026/01/09,1,2026/01/13,568,562,0,1,0,0,0,5,
2601-0013,756,2026/01/09,2026/01/09,1,2026/01/13,652,650,0,0,0,0,0,2,
2601-0014,750,2026/01/09,2026/01/09,1,2026/01/13,634,627,0,0,0,0,0,7,
2601-0015,756,2026/01/12,2026/01/12,1,2026/01/14,644,641,0,0,0,0,0,3,
2601-0016,757,2026/01/12,2026/01/12,1,2026/01/14,592,588,0,0,0,0,0,4,
2601-0017,757,2026/01/13,2026/01/13,1,2026/01/15,568,565,0,0,0,0,1,2,
2601-0018,756,2026/01/13,2026/01/13,1,2026/01/15,620,609,0,8,0,0,0,3,
2601-0019,750,2026/01/13,2026/01/13,1,2026/01/15,621,605,0,2,0,5,0,9,
2601-0020,750,2026/01/14,2026/01/14,1,2026/01/16,665,643,0,0,0,0,0,22,
2601-0021,756,2026/01/14,2026/01/14,1,2026/01/16,642,640,0,0,1,0,0,1,
2601-0022,757,2026/01/14,2026/01/14,1,2026/01/16,614,609,0,0,0,0,0,5,
2601-0023,750,2026/01/15,2026/01/15,1,2026/01/17,625,597,0,3,0,14,0,11,
2601-0024,756,2026/01/15,2026/01/15,1,2026/01/17,645,643,0,0,0,0,0,2,
2601-0025,757,2026/01/15,2026/01/15,1,2026/01/17,608,606,0,0,0,0,0,2,
2601-0026,750,2026/01/16,2026/01/16,1,2026/01/19,656,569,0,0,0,79,0,8,
2601-0027,756,2026/01/16,2026/01/16,1,2026/01/19,654,645,0,0,0,0,2,7,
2601-0028,757,2026/01/16,2026/01/16,1,2026/01/19,615,609,0,0,1,0,1,4,
2601-0029,757,2026/01/17,2026/01/17,1,2026/01/20,586,583,0,0,0,0,0,3,
2601-0030,756,2026/01/17,2026/01/17,1,2026/01/20,654,647,0,0,0,1,0,6,
2601-0031,750,2026/01/17,2026/01/17,1,2026/01/20,668,612,0,0,0,43,0,13,
2601-0032,750,2026/01/19,2026/01/19,1,2026/01/21,492,477,0,0,0,0,0,15,
2601-0033,756,2026/01/19,2026/01/19,1,2026/01/21,610,598,0,0,0,0,1,11,
2601-0034,757,2026/01/19,2026/01/19,1,2026/01/21,591,578,0,0,0,0,0,13,
2601-0035,750,2026/01/20,2026/01/20,1,2026/01/22,635,552,0,54,0,0,0,29,
2601-0036,756,2026/01/20,2026/01/20,1,2026/01/22,602,572,0,10,1,3,7,9,
2601-0037,757,2026/01/20,2026/01/20,1,2026/01/22,216,207,0,0,2,0,0,7,
2601-0038,750,2026/01/21,2026/01/21,1,2026/01/23,628,603,0,0,0,0,0,25,
2601-0039,756,2026/01/21,2026/01/21,1,2026/01/23,561,552,0,0,0,0,0,9,
2601-0040,757,2026/01/21,2026/01/21,1,2026/01/23,584,576,0,0,0,0,0,8,
2601-0041,750,2026/01/22,2026/01/22,1,2026/01/26,564,555,0,0,0,0,0,9,
2601-0042,756,2026/01/22,2026/01/22,1,2026/01/26,688,684,0,0,0,0,0,4,
2601-0043,757,2026/01/22,2026/01/22,1,2026/01/27,498,467,0,0,15,6,0,10,
2601-0044,756,2026/01/22,2026/01/22,1,2026/01/27,595,587,0,0,0,0,0,8,
2601-0045,750,2026/01/22,2026/01/22,1,2026/01/27,647,627,0,0,0,0,0,20,
2601-0046,750,2026/01/26,2026/01/26,1,2026/01/28,608,597,0,0,0,0,0,11,
2601-0047,756,2026/01/26,2026/01/26,1,2026/01/28,589,585,0,0,0,0,0,4,
2601-0048,750,2026/01/27,2026/01/27,1,2026/01/29,572,562,0,0,0,0,1,9,
2601-0049,756,2026/01/27,2026/01/27,1,2026/01/29,553,550,0,0,0,0,0,3,
2601-0050,750,2026/01/28,2026/01/28,1,2026/01/30,693,691,0,0,0,0,0,2,
2601-0051,756,2026/01/28,2026/01/28,1,2026/01/30,644,640,0,0,0,0,0,4,
2601-0052,757,2026/01/28,2026/01/28,1,2026/01/30,461,454,0,3,0,0,0,4,
