DataID,â¡çHã@î‘,â¡çHì˙äJén,â¡çHì˙èIóπ,åüç∏ã@î‘,åüç∏ì˙,åüç∏êî,OKêî,ëSí∑NG,ì‡åaNG,äOåaNG,ÇÀÇ∂NG,ëºNG,äOäœNG,îıçl
2603-0001,750,2026/02/26,2026/02/26,1,2026/03/02,629,607,0,0,0,0,0,22,
2603-0002,757,2026/02/26,2026/02/26,1,2026/03/02,604,596,0,0,0,0,1,7,
2603-0003,750,2026/02/27,2026/02/27,1,2026/03/03,695,685,0,0,0,0,0,10,
2603-0004,757,2026/02/27,2026/02/27,1,2026/03/03,606,601,0,0,0,0,1,4,
2603-0005,750,2026/03/02,2026/03/02,1,2026/03/04,589,573,0,6,0,0,0,10,
2603-0006,757,2026/03/02,2026/03/02,1,2026/03/04,593,581,0,0,0,0,0,12,
2603-0007,756,2026/03/03,2026/03/03,1,2026/03/05,594,407,0,186,0,0,0,1,
2603-0008,757,2026/03/03,2026/03/03,1,2026/03/05,561,555,0,0,0,0,0,6,
2603-0009,757,2026/03/04,2026/03/03,1,2026/03/06,606,594,0,0,1,1,1,9,
2603-0010,756,2026/03/04,2026/03/03,1,2026/03/06,580,570,0,3,0,0,0,7,
2603-0011,750,2026/03/04,2026/03/03,1,2026/03/06,648,637,0,0,0,0,0,11,
2603-0012,750,2026/03/05,2026/03/04,1,2026/03/09,690,676,0,0,1,0,0,13,
2603-0013,750,2026/03/05,2026/03/04,1,2026/03/09,641,636,0,0,0,0,0,5,
2603-0014,757,2026/03/05,2026/03/04,1,2026/03/09,577,549,0,0,20,2,1,5,
2603-0015,757,2026/03/06,2026/03/06,1,2026/03/10,583,556,0,11,0,2,7,7,
2603-0016,756,2026/03/06,2026/03/06,1,2026/03/10,699,684,0,0,0,1,0,14,
2603-0017,756,2026/03/10,2026/03/10,1,2026/03/12,483,311,0,164,2,1,0,5,
2603-0018,756,2026/03/11,2026/03/11,1,2026/03/13,856,801,0,ÇO,0,0,0,7,
2603-0019,756,2026/03/13,2026/03/13,1,2026/03/14,477,466,0,0,0,0,0,11,
2603-0020,756,2026/03/13,2026/03/13,1,2026/03/14,595,589,0,0,0,0,0,6,
2603-0021,756,2026/03/14,2026/03/14,1,2026/03/16,635,622,0,0,1,0,0,12,
2603-0022,756,2026/03/17,2026/03/17,1,2026/03/19,632,616,0,1,0,0,0,15,
2603-0023,750,2026/03/17,2026/03/17,1,2026/03/19,572,529,0,0,0,0,0,43,
2603-0024,750,2026/03/18,2026/03/18,1,2026/03/20,397,377,0,0,0,0,0,20,
2603-0025,756,2026/03/18,2026/03/18,1,2026/03/20,633,620,0,0,0,0,0,13,
2603-0026,757,2026/03/18,2026/03/18,1,2026/03/20,651,638,0,0,1,0,0,12,
2603-0027,750,2026/03/19,2026/03/19,1,2026/03/23,569,547,0,4,0,1,1,16,
2603-0028,756,2026/03/19,2026/03/19,1,2026/03/23,637,619,0,0,0,0,0,18,
2603-0029,756,2026/03/21,2026/03/20,1,2026/03/24,647,639,0,0,0,0,0,8,
2603-0030,750,2026/03/21,2026/03/20,1,2026/03/24,693,668,0,0,0,4,0,21,
2603-0031,756,2026/03/23,2026/03/23,1,2026/03/25,593,578,0,0,0,0,0,15,
2603-0032,750,2026/03/23,2026/03/23,1,2026/03/25,492,477,0,0,0,1,0,14,
2603-0033,750,2026/03/24,2026/03/24,1,2026/03/26,582,559,0,12,1,0,0,10,
2603-0034,756,2026/03/24,2026/03/24,1,2026/03/26,585,576,0,0,0,0,0,9,
2603-0035,756,2026/03/25,2026/03/25,1,2026/03/27,575,565,0,0,0,0,0,10,
2603-0036,750,2026/03/25,2026/03/25,1,2026/03/27,685,672,0,1,1,3,0,8,
2603-0037,750,2026/03/26,2026/03/26,1,2026/03/30,695,694,0,0,0,0,0,1,
2603-0038,756,2026/03/26,2026/03/26,1,2026/03/30,634,630,0,0,0,0,0,4,
2603-0039,750,2026/03/27,2026/03/27,1,2026/03/31,686,667,0,0,0,0,0,19,
2603-0040,756,2026/03/27,2026/03/27,1,2026/03/31,640,630,0,0,0,0,0,10,
