DataID,â¡çHã@î‘,â¡çHì˙äJén,â¡çHì˙èIóπ,åüç∏ã@î‘,åüç∏ì˙,åüç∏êî,OKêî,ëSí∑NG,ì‡åaNG,äOåaNG,ÇÀÇ∂NG,ëºNG,äOäœNG,îıçl
2607-0001,756,2026/06/30,2026/06/30,1,2026/07/02,555,536,0,0,0,0,0,19,
2607-0002,750,2026/06/30,2026/06/30,1,2026/07/02,570,561,0,0,0,0,1,8,
2607-0003,750,2026/07/01,2026/07/01,1,2026/07/02,695,681,0,0,0,1,0,13,
2607-0004,756,2026/07/01,2026/07/01,1,2026/07/02,642,632,0,0,1,0,0,9,
2607-0005,750,2026/07/02,2026/07/02,1,2026/07/06,666,640,0,0,0,0,0,26,
2607-0006,756,2026/07/02,2026/07/02,1,2026/07/06,643,625,1,0,1,0,0,16,
2607-0007,750,2026/07/03,2026/07/03,1,2026/07/06,691,651,0,0,0,0,0,40,
2607-0008,756,2026/07/03,2026/07/03,1,2026/07/06,558,542,0,0,0,0,0,16,
2607-0009,750,2026/07/06,2026/07/06,1,2026/07/08,643,630,0,0,0,0,0,13,
2607-0010,756,2026/07/06,2026/07/06,1,2026/07/08,643,637,0,0,0,0,0,6,
2607-0011,756,2026/07/07,2026/07/07,1,2026/07/08,563,536,0,0,0,1,0,26,
2607-0012,750,2026/07/07,2026/07/07,1,2026/07/08,569,550,0,0,0,0,0,19,
2607-0013,750,2026/07/08,2026/07/08,1,2026/07/10,696,686,0,0,0,1,0,9,
2607-0014,756,2026/07/08,2026/07/08,1,2026/07/10,516,511,0,0,0,0,0,5,
2607-0015,756,2026/07/09,2026/07/09,1,2026/07/10,639,631,0,0,0,0,0,8,
2607-0016,750,2026/07/09,2026/07/09,1,2026/07/10,544,536,0,0,0,0,0,8,
2607-0017,750,2026/07/10,2026/07/10,1,2026/07/15,605,596,0,0,1,1,0,7,
2607-0018,756,2026/07/10,2026/07/10,1,2026/07/15,659,642,0,0,0,1,1,15,
2607-0019,756,2026/07/13,2026/07/13,1,2026/07/15,650,643,0,0,0,0,3,4,
2607-0020,750,2026/07/13,2026/07/13,1,2026/07/15,665,656,0,0,0,1,1,7,
2607-0021,750,2026/07/14,2026/07/14,1,2026/07/16,574,571,0,0,0,0,0,3,
2607-0022,756,2026/07/14,2026/07/14,1,2026/07/16,533,513,0,0,2,4,1,13,
2607-0023,750,2026/07/15,2026/07/15,1,2026/07/16,383,382,0,0,0,0,0,1,
2607-0024,756,2026/07/15,2026/07/15,1,2026/07/16,633,605,0,0,0,3,4,21,
2607-0025,756,2026/07/16,2026/07/16,1,2026/07/20,516,497,0,0,1,5,3,10,
2607-0026,750,2026/07/16,2026/07/16,1,2026/07/20,571,564,0,1,1,0,0,5,
2607-0027,756,2026/07/17,2026/07/17,1,2026/07/20,510,480,0,0,2,3,15,10,
2607-0028,750,2026/07/17,2026/07/17,1,2026/07/20,697,679,0,3,0,0,0,15,
2607-0029,750,2026/07/20,2026/07/20,1,2026/07/22,645,635,0,0,1,0,0,9,
2607-0030,756,2026/07/20,2026/07/20,1,2026/07/22,618,575,1,0,2,2,28,10,
2607-0031,750,2026/07/21,2026/07/21,1,2026/07/23,568,556,0,0,0,0,0,12,
2607-0032,756,2026/07/21,2026/07/21,1,2026/07/23,522,510,0,0,0,0,0,12,
2607-0033,750,2026/07/23,2026/07/23,1,2026/07/24,695,688,0,0,0,2,1,4,
2607-0034,756,2026/07/23,2026/07/23,1,2026/07/24,505,496,0,0,0,0,0,9,
2607-0035,750,2026/07/22,2026/07/22,1,2026/07/24,700,691,0,0,1,0,0,8,
2607-0036,756,2026/07/24,2026/07/24,1,2026/07/28,640,625,0,0,0,0,0,15,
2607-0037,750,2026/07/24,2026/07/24,1,2026/07/28,694,689,0,0,0,2,0,3,
2607-0038,750,2026/07/27,2026/07/27,1,2026/07/28,642,639,0,0,0,1,0,2,
2607-0039,756,2026/07/27,2026/07/27,1,2026/07/28,645,626,0,0,0,0,0,19,
2607-0040,750,2026/07/28,2026/07/28,1,2026/07/30,572,552,0,0,0,0,0,20,
2607-0041,756,2026/07/28,2026/07/28,1,2026/07/30,602,588,0,0,0,0,0,14,
2607-0042,750,2026/07/29,2026/07/29,1,2026/07/30,540,520,0,0,0,0,1,19,
2607-0043,756,2026/07/29,2026/07/29,1,2026/07/30,637,627,0,0,0,0,0,10,
