DataID,â¡çHã@î‘,â¡çHì˙äJén,â¡çHì˙èIóπ,åüç∏ã@î‘,åüç∏ì˙,åüç∏êî,OKêî,ëSí∑NG,ì‡åaNG,äOåaNG,ÇÀÇ∂NG,ëºNG,äOäœNG,îıçl
2511-0001,756,2025/10/30,2025/10/29,1,2025/11/03,676,616,0,11,3,8,4,34,
2511-0002,750,2025/10/31,2025/10/31,1,2025/11/04,608,582,0,3,0,0,0,23,
2511-0003,756,2025/10/31,2025/10/31,1,2025/11/04,615,590,0,0,1,2,2,20,
2511-0004,750,2025/11/03,2025/11/03,1,2025/11/05,163,154,1,1,0,0,0,7,
2511-0005,757,2025/11/04,2025/11/04,1,2025/11/06,506,480,0,14,0,1,0,11,
2511-0006,757,2025/11/05,2025/11/05,1,2025/11/06,684,671,0,0,0,0,1,12,
2511-0007,756,2025/11/05,2025/11/05,1,2025/11/06,710,693,0,0,0,6,1,10,
2511-0008,750,2025/11/05,2025/11/05,1,2025/11/06,704,691,0,0,0,0,0,13,
2511-0009,750,2025/11/06,2025/11/06,1,2025/11/08,654,649,0,0,0,1,0,4,
2511-0010,756,2025/11/06,2025/11/06,1,2025/11/08,634,613,0,0,1,3,5,12,
2511-0011,757,2025/11/06,2025/11/06,1,2025/11/08,670,663,0,0,0,0,0,7,
2511-0012,750,2025/11/07,2025/11/07,1,2025/11/10,659,652,0,0,0,0,1,6,
2511-0013,756,2025/11/07,2025/11/07,1,2025/11/10,649,627,0,0,1,0,1,20,
2511-0014,750,2025/11/08,2025/11/08,1,2025/11/11,630,627,0,0,0,0,0,3,
2511-0015,756,2025/11/08,2025/11/08,1,2025/11/11,652,636,0,0,0,6,3,7,
2511-0016,757,2025/11/08,2025/11/08,1,2025/11/11,486,473,0,0,0,0,0,13,
2511-0017,750,2025/11/11,2025/11/11,1,2025/11/13,510,502,0,0,1,0,1,6,
2511-0018,757,2025/11/11,2025/11/11,1,2025/11/13,513,502,0,0,1,0,4,6,
2511-0019,757,2025/11/11,2025/11/11,1,2025/11/13,716,709,0,0,0,0,0,7,
2511-0020,757,2025/11/12,2025/11/12,1,2025/11/14,670,649,0,0,5,1,5,10,
2511-0021,750,2025/11/12,2025/11/12,1,2025/11/14,640,632,0,0,0,0,0,8,
2511-0022,750,2025/11/13,2025/11/13,1,2025/11/17,639,623,0,0,1,0,0,15,
2511-0023,757,2025/11/13,2025/11/13,1,2025/11/17,660,636,0,0,3,3,5,13,
2511-0024,750,2025/11/14,2025/11/14,1,2025/11/18,629,624,0,0,0,1,0,4,
2511-0025,757,2025/11/14,2025/11/14,1,2025/11/18,648,625,0,0,0,1,2,20,
2511-0026,750,2025/11/17,2025/11/17,1,2025/11/19,658,650,0,0,0,1,1,6,
2511-0027,756,2025/11/17,2025/11/17,1,2025/11/19,658,641,0,0,1,4,7,5,
2511-0028,757,2025/11/17,2025/11/17,1,2025/11/19,658,652,0,0,0,0,0,6,
2511-0029,757,2025/11/18,2025/11/18,1,2025/11/20,619,614,0,0,0,1,0,4,
2511-0030,756,2025/11/18,2025/11/18,1,2025/11/20,556,543,1,0,1,0,3,8,
2511-0031,756,2025/11/19,2025/11/19,1,2025/11/20,532,522,0,0,0,1,1,8,
2511-0032,750,2025/11/19,2025/11/19,1,2025/11/20,588,577,0,0,0,1,0,10,
2511-0033,750,2025/11/20,2025/11/20,1,2025/11/24,614,609,0,0,0,0,0,5,
2511-0034,756,2025/11/20,2025/11/20,1,2025/11/24,485,481,0,0,1,0,0,3,
2511-0035,757,2025/11/20,2025/11/20,1,2025/11/24,631,618,0,0,0,0,1,12,
2511-0036,750,2025/11/21,2025/11/21,1,2025/11/25,627,621,0,0,0,0,0,6,
2511-0037,756,2025/11/21,2025/11/21,1,2025/11/25,660,647,0,6,0,0,2,5,
2511-0038,757,2025/11/21,2025/11/21,1,2025/11/25,663,657,0,0,0,0,0,6,
2511-0039,756,2025/11/24,2025/11/24,1,2025/11/26,866,836,0,13,0,0,0,17,
2511-0040,750,2025/11/24,2025/11/24,1,2025/11/26,648,635,0,0,0,0,1,12,
2511-0041,757,2025/11/25,2025/11/25,1,2025/11/27,587,530,0,50,0,0,0,7,
2511-0042,756,2025/11/25,2025/11/25,1,2025/11/27,599,584,0,0,0,0,2,13,
2511-0043,750,2025/11/26,2025/11/26,1,2025/11/28,618,609,0,0,0,0,1,8,
2511-0044,756,2025/11/26,2025/11/26,1,2025/11/28,655,644,0,0,0,0,2,9,
2511-0045,757,2025/11/26,2025/11/26,1,2025/11/28,590,580,0,2,0,0,0,8,
