DataID,â¡çHã@î‘,â¡çHì˙äJén,â¡çHì˙èIóπ,åüç∏ã@î‘,åüç∏ì˙,åüç∏êî,OKêî,ëSí∑NG,ì‡åaNG,äOåaNG,ÇÀÇ∂NG,ëºNG,äOäœNG,îıçl
2509-0001,750,2025/08/28,2025/08/28,1,2025/09/01,629,612,1,0,0,0,1,15,
2509-0002,756,2025/08/28,2025/08/28,1,2025/09/01,643,611,2,0,4,4,3,19,
2509-0003,750,2025/08/29,2025/08/29,1,2025/09/02,590,583,0,0,0,0,2,5,
2509-0004,756,2025/08/29,2025/08/29,1,2025/09/02,659,631,0,0,4,0,1,23,
2509-0005,756,2025/08/31,2025/08/31,1,2025/09/03,838,811,1,0,2,2,1,21,
2509-0006,750,2025/09/01,2025/09/01,1,2025/09/03,825,814,1,0,0,1,0,9,
2509-0007,756,2025/09/02,2025/09/02,1,2025/09/03,633,603,3,0,1,3,2,21,
2509-0008,750,2025/09/03,2025/09/03,1,2025/09/05,464,438,14,0,0,0,0,12,
2509-0009,756,2025/09/03,2025/09/03,1,2025/09/05,625,587,2,0,2,4,11,19,
2509-0010,750,2025/09/04,2025/09/04,1,2025/09/05,628,614,6,0,0,0,0,8,
2509-0011,756,2025/09/04,2025/09/04,1,2025/09/05,662,635,0,0,5,1,0,21,
2509-0012,750,2025/09/05,2025/09/05,1,2025/09/09,612,597,5,0,0,1,3,6,
2509-0013,756,2025/09/05,2025/09/05,1,2025/09/09,622,581,2,0,6,5,3,25,
2509-0014,750,2025/09/08,2025/09/08,1,2025/09/10,687,658,0,0,4,3,3,19,
2509-0015,756,2025/09/08,2025/09/08,1,2025/09/10,734,701,2,0,5,1,0,25,
2509-0016,756,2025/09/09,2025/09/09,1,2025/09/11,645,624,3,0,1,1,0,16,
2509-0017,750,2025/09/09,2025/09/09,1,2025/09/11,563,543,0,12,0,0,0,8,
2509-0018,750,2025/09/10,2025/09/10,1,2025/09/11,270,251,1,11,0,0,0,7,
2509-0019,756,2025/09/10,2025/09/10,1,2025/09/12,640,608,0,0,4,4,14,10,
2509-0020,756,2025/09/11,2025/09/11,1,2025/09/15,643,593,2,4,5,4,28,7,
2509-0021,756,2025/09/12,2025/09/12,1,2025/09/16,544,512,1,0,5,3,5,18,
2509-0022,750,2025/09/15,2025/09/15,1,2025/09/17,761,742,4,0,1,0,0,14,
2509-0023,756,2025/09/15,2025/09/15,1,2025/09/17,813,778,1,0,2,2,5,25,
2509-0024,750,2025/09/11,2025/09/11,1,2025/09/18,119,116,0,0,0,0,0,3,
2509-0025,756,2025/09/16,2025/09/16,1,2025/09/18,597,566,2,0,0,0,2,27,
2509-0026,750,2025/09/16,2025/09/16,1,2025/09/18,565,543,2,0,0,1,0,19,
2509-0027,750,2025/09/17,2025/09/17,1,2025/09/19,3182,601,0,15,0,9,0,30,
2509-0028,756,2025/09/17,2025/09/17,1,2025/09/22,629,589,0,0,0,2,4,34,
2509-0029,750,2025/09/18,2025/09/18,1,2025/09/22,699,679,0,0,0,0,0,20,
2509-0030,756,2025/09/18,2025/09/18,1,2025/09/22,652,599,1,0,0,5,6,41,
2509-0031,750,2025/09/19,2025/09/19,1,2025/09/23,603,588,1,0,0,1,0,13,
2509-0032,756,2025/09/19,2025/09/19,1,2025/09/23,612,579,0,0,1,2,2,28,
2509-0033,750,2025/09/22,2025/09/22,1,2025/09/24,738,714,1,0,0,0,3,20,
2509-0034,756,2025/09/22,2025/09/22,1,2025/09/24,702,672,0,0,1,2,0,27,
2509-0035,750,2025/09/23,2025/09/23,1,2025/09/25,657,641,0,0,0,1,0,15,
2509-0036,756,2025/09/23,2025/09/23,1,2025/09/25,653,626,0,0,0,1,1,25,
2509-0037,750,2025/09/24,2025/09/24,1,2025/09/26,628,598,0,0,1,1,0,28,
2509-0038,756,2025/09/24,2025/09/24,1,2025/09/26,649,619,0,0,0,6,1,23,
2509-0039,756,2025/09/25,2025/09/25,1,2025/09/29,618,599,0,0,0,4,3,12,
2509-0040,750,2025/09/25,2025/09/25,1,2025/09/30,295,285,1,0,0,0,0,9,
2509-0041,750,2025/09/26,2025/09/26,1,2025/09/30,441,433,0,0,1,0,1,6,
2509-0042,756,2025/09/26,2025/09/26,1,2025/09/30,654,616,0,0,4,3,2,29,
