DataID,â¡çHã@î‘,â¡çHì˙äJén,â¡çHì˙èIóπ,åüç∏ã@î‘,åüç∏ì˙,åüç∏êî,OKêî,ëSí∑NG,ì‡åaNG,äOåaNG,ÇÀÇ∂NG,ëºNG,äOäœNG,îıçl
2512-0001,757,2025/11/27,2025/11/27,1,2025/12/01,673,645,0,22,0,0,0,6,
2512-0002,756,2025/11/27,2025/11/27,1,2025/12/01,647,628,0,4,0,1,5,9,
2512-0003,750,2025/11/27,2025/11/27,1,2025/12/01,643,639,0,0,0,0,0,4,
2512-0004,757,2025/11/28,2025/11/28,1,2025/12/01,651,648,0,0,1,0,0,2,
2512-0005,756,2025/11/28,2025/11/28,1,2025/12/01,618,607,0,0,0,2,4,5,
2512-0006,750,2025/11/28,2025/11/28,1,2025/12/01,626,620,0,0,0,0,0,6,
2512-0007,750,2025/12/01,2025/12/01,1,2025/12/03,589,579,0,0,0,1,0,9,
2512-0008,756,2025/12/01,2025/12/01,1,2025/12/03,207,203,0,0,1,0,2,1,
2512-0009,757,2025/12/01,2025/12/01,1,2025/12/03,639,634,0,0,0,0,1,4,
2512-0010,750,2025/12/02,2025/12/02,1,2025/12/04,574,564,0,3,0,0,0,7,
2512-0011,756,2025/12/02,2025/12/02,1,2025/12/04,639,605,0,17,0,1,8,8,
2512-0012,757,2025/12/02,2025/12/02,1,2025/12/04,390,371,0,18,0,0,0,1,
2512-0013,757,2025/12/03,2025/12/03,1,2025/12/05,503,488,0,0,0,0,0,15,
2512-0014,756,2025/12/03,2025/12/03,1,2025/12/05,607,587,0,1,0,0,9,10,
2512-0015,750,2025/12/03,2025/12/03,1,2025/12/05,604,591,0,0,0,0,0,13,
2512-0016,750,2025/12/04,2025/12/04,1,2025/12/08,629,617,1,0,0,0,1,10,
2512-0017,757,2025/12/04,2025/12/04,1,2025/12/08,626,612,0,0,0,0,0,14,
2512-0018,757,2025/12/05,2025/12/05,1,2025/12/09,660,649,0,0,0,0,0,11,
2512-0019,756,2025/12/05,2025/12/05,1,2025/12/09,643,626,0,2,0,3,2,10,
2512-0020,750,2025/12/05,2025/12/05,1,2025/12/09,631,610,0,0,0,1,2,18,
2512-0021,756,2025/12/08,2025/12/08,1,2025/12/10,1223,1188,1,0,4,3,2,25,
2512-0022,750,2025/12/08,2025/12/08,1,2025/12/10,0,0,0,0,0,0,0,0,ÇVÇTÇUÇ∆ÉfÅ[É^ç¨Ç∂Ç¡ÇΩ
2512-0023,757,2025/12/08,2025/12/08,1,2025/12/10,642,627,0,2,0,0,0,13,
2512-0024,756,2025/12/09,2025/12/09,1,2025/12/10,587,574,0,0,1,4,1,7,
2512-0025,757,2025/12/09,2025/12/09,1,2025/12/12,621,607,0,0,0,0,0,14,
2512-0026,756,2025/12/10,2025/12/10,1,2025/12/12,465,461,0,0,0,0,2,2,
2512-0027,757,2025/12/10,2025/12/10,1,2025/12/12,564,552,0,0,2,0,0,10,
2512-0028,756,2025/12/11,2025/12/11,1,2025/12/15,581,558,0,22,0,0,0,1,
2512-0029,757,2025/12/11,2025/12/11,1,2025/12/15,539,449,0,87,0,0,0,3,
2512-0030,756,2025/12/12,2025/12/12,1,2025/12/16,641,636,0,0,0,1,1,3,
2512-0031,757,2025/12/12,2025/12/12,1,2025/12/16,635,628,0,0,0,0,1,6,
2512-0032,756,2025/12/15,2025/12/15,1,2025/12/17,636,627,0,0,1,1,5,2,
2512-0033,757,2025/12/15,2025/12/15,1,2025/12/17,641,635,0,0,0,0,1,5,
2512-0034,756,2025/12/16,2025/12/16,1,2025/12/18,510,505,0,0,0,0,4,1,
2512-0035,757,2025/12/16,2025/12/16,1,2025/12/18,624,620,0,0,0,0,1,3,
2512-0036,756,2025/12/17,2025/12/17,1,2025/12/19,627,620,0,0,0,0,0,7,
2512-0037,757,2025/12/17,2025/12/17,1,2025/12/19,633,613,0,17,0,0,0,3,
2512-0038,756,2025/12/18,2025/12/18,1,2025/12/19,673,660,0,0,1,0,0,12,
2512-0039,757,2025/12/18,2025/12/18,1,2025/12/19,630,609,0,0,0,0,0,21,
2512-0040,756,2025/12/19,2025/12/19,1,2025/12/23,650,636,0,0,0,0,0,14,
2512-0041,757,2025/12/19,2025/12/19,1,2025/12/23,444,443,0,0,0,0,0,1,
2512-0042,756,2025/12/22,2025/12/22,1,2025/12/24,594,590,0,0,0,0,0,4,
2512-0043,757,2025/12/22,2025/12/22,1,2025/12/24,587,574,0,0,0,0,0,13,
2512-0044,757,2025/12/23,2025/12/23,1,2025/12/25,593,579,0,0,0,0,0,14,
2512-0045,756,2025/12/23,2025/12/23,1,2025/12/25,595,589,0,1,0,0,0,5,
2512-0046,750,2025/12/23,2025/12/23,1,2025/12/25,462,459,0,0,0,0,0,3,
2512-0047,750,2025/12/24,2025/12/24,1,2025/12/26,617,608,0,0,0,0,0,9,
2512-0048,756,2025/12/24,2025/12/24,1,2025/12/26,629,624,0,0,0,0,0,5,
2512-0049,757,2025/12/24,2025/12/24,1,2025/12/26,621,611,0,0,0,0,0,10,
