DataID,â¡çHã@î‘,â¡çHì˙äJén,â¡çHì˙èIóπ,åüç∏ã@î‘,åüç∏ì˙,åüç∏êî,OKêî,ëSí∑NG,ì‡åaNG,äOåaNG,ÇÀÇ∂NG,ëºNG,äOäœNG,îıçl
2510-0001,756,2025/09/29,2025/09/29,1,2025/10/01,699,669,0,0,5,0,6,19,
2510-0002,750,2025/09/30,2025/09/30,1,2025/10/02,633,609,0,0,3,2,1,18,
2510-0003,756,2025/09/30,2025/09/30,1,2025/10/02,616,596,0,0,0,2,0,18,
2510-0004,756,2025/10/01,2025/10/01,1,2025/10/03,610,576,0,0,5,6,8,15,
2510-0005,750,2025/10/01,2025/10/01,1,2025/10/03,631,616,0,0,0,0,0,15,
2510-0006,756,2025/10/02,2025/10/02,1,2025/10/06,586,561,2,0,3,4,2,14,
2510-0007,750,2025/10/03,2025/10/03,1,2025/10/07,452,436,0,12,0,0,0,4,
2510-0008,756,2025/10/03,2025/10/03,1,2025/10/07,646,601,2,0,3,1,3,36,
2510-0009,756,2025/10/06,2025/10/06,1,2025/10/08,638,607,0,0,0,2,0,29,
2510-0010,750,2025/10/06,2025/10/06,1,2025/10/08,686,672,0,1,1,1,1,10,
2510-0011,750,2025/10/07,2025/10/07,1,2025/10/09,640,612,0,7,1,0,0,20,
2510-0012,756,2025/10/07,2025/10/07,1,2025/10/09,608,581,1,1,4,3,3,15,
2510-0013,750,2025/10/08,2025/10/08,1,2025/10/10,573,565,0,0,0,0,0,8,
2510-0014,756,2025/10/08,2025/10/08,1,2025/10/10,318,295,1,0,4,5,1,12,
2510-0015,750,2025/10/09,2025/10/09,1,2025/10/13,190,189,0,0,0,0,0,1,
2510-0016,750,2025/10/09,2025/10/09,1,2025/10/13,139,134,0,0,0,0,1,4,
2510-0017,750,2025/10/10,2025/10/10,1,2025/10/14,220,219,0,0,0,0,0,1,
2510-0018,756,2025/10/10,2025/10/10,1,2025/10/14,521,482,2,0,6,3,5,23,
2510-0019,750,2025/10/13,2025/10/13,1,2025/10/15,667,664,0,0,0,0,0,3,
2510-0020,756,2025/10/13,2025/10/13,1,2025/10/15,638,610,2,0,2,2,2,20,
2510-0021,750,2025/10/14,2025/10/14,1,2025/10/16,627,606,0,10,0,0,0,11,
2510-0022,756,2025/10/14,2025/10/14,1,2025/10/16,624,605,0,1,1,0,1,16,
2510-0023,750,2025/10/15,2025/10/15,1,2025/10/17,626,610,0,4,1,0,0,11,
2510-0024,756,2025/10/15,2025/10/15,1,2025/10/17,601,580,0,0,1,1,1,18,
2510-0025,756,2025/10/16,2025/10/16,1,2025/10/18,643,608,0,0,1,3,1,30,
2510-0026,750,2025/10/16,2025/10/16,1,2025/10/18,603,584,0,0,0,4,1,14,
2510-0027,750,2025/10/17,2025/10/17,1,2025/10/20,571,545,0,0,0,0,4,22,
2510-0028,756,2025/10/17,2025/10/17,1,2025/10/20,617,548,0,0,10,8,13,38,
2510-0029,750,2025/10/18,2025/10/18,1,2025/10/21,634,618,0,0,1,1,0,14,
2510-0030,756,2025/10/18,2025/10/18,1,2025/10/21,631,618,0,0,0,1,1,11,
2510-0031,750,2025/10/20,2025/10/20,1,2025/10/22,725,714,0,0,0,0,1,10,
2510-0032,756,2025/10/20,2025/10/20,1,2025/10/22,738,720,0,3,0,3,1,11,
2510-0033,750,2025/10/21,2025/10/21,1,2025/10/23,635,609,0,8,0,1,1,16,
2510-0034,756,2025/10/21,2025/10/21,1,2025/10/23,621,572,0,17,2,4,7,19,
2510-0035,756,2025/10/22,2025/10/22,1,2025/10/24,607,570,0,0,2,5,5,25,
2510-0036,750,2025/10/22,2025/10/22,1,2025/10/24,859,837,0,0,0,3,1,18,
2510-0037,750,2025/10/23,2025/10/23,1,2025/10/27,426,413,0,0,1,1,0,11,
2510-0038,750,2025/10/23,2025/10/23,1,2025/10/27,26,24,0,0,0,0,1,1,
2510-0039,756,2025/10/23,2025/10/23,1,2025/10/27,435,431,0,0,0,0,0,4,
2510-0040,750,2025/10/24,2025/10/24,1,2025/10/28,643,634,0,0,0,1,0,8,
2510-0041,756,2025/10/24,2025/10/24,1,2025/10/28,683,652,0,1,0,5,5,20,
2510-0042,756,2025/10/27,2025/10/27,1,2025/10/29,651,620,0,4,3,2,4,18,
2510-0043,750,2025/10/27,2025/10/27,1,2025/10/29,710,696,0,0,0,0,1,13,
2510-0044,750,2025/10/28,2025/10/28,1,2025/10/30,604,481,0,120,0,0,0,3,
2510-0045,750,2025/10/29,2025/10/29,1,2025/10/31,671,654,0,9,0,0,0,8,
2510-0046,756,2025/10/29,2025/10/29,1,2025/10/31,646,614,0,0,1,4,6,21,
